metric,mean,ci_lower,ci_upper
accuracy,0.685297,0.656648,0.714936
macro_f1,0.410783,0.374502,0.447563
f1_normal,0.857167,0.838364,0.876178
f1_laringite,0.393134,0.307692,0.476987
f1_disfonia_psicogenica,0.216717,0.129496,0.309524
f1_disfonia_funcional,0.142847,0.073171,0.222222
f1_reinke,0.444051,0.351351,0.541176
