Method,Accuracy,Macro_F1,F1_Normal,F1_Laryngite,F1_DisfPsicog,F1_DisfFuncional,F1_Reinke
MajorityClass,0.625683,0.153950,0.769748,0.000000,0.000000,0.000000,0.000000
kNN_k5,0.644809,0.255805,0.797605,0.304147,0.127273,0.000000,0.050000
LogisticRegression,0.605647,0.397513,0.795843,0.389706,0.259459,0.235808,0.306748
MLP_proposed,0.642076,0.427014,0.818763,0.361446,0.287425,0.264840,0.402597
# mcnemar_test (Edwards continuity correction, alpha=0.05)
Comparison,chi2,p_value,significant
MLP_vs_MajorityClass,1.2042,0.272491,no
MLP_vs_kNN_k5,0.0178,0.893930,no
MLP_vs_LogisticRegression,7.2429,0.007118,yes
