metric,mean,ci_lower,ci_upper
accuracy,0.691543,0.664845,0.717668
macro_f1,0.433753,0.397637,0.471263
f1_normal,0.872481,0.853087,0.890402
f1_laringite,0.388363,0.304569,0.469027
f1_disfonia_psicogenica,0.264789,0.181818,0.343949
f1_disfonia_funcional,0.189157,0.111801,0.270270
f1_reinke,0.453972,0.365714,0.546296
