metric,mean,ci_lower,ci_upper
accuracy,0.609155,0.581056,0.637523
macro_f1,0.277504,0.249180,0.308153
f1_normal,0.789214,0.765930,0.810513
f1_laringite,0.156473,0.083832,0.233010
f1_disfonia_psicogenica,0.155651,0.082759,0.241379
f1_disfonia_funcional,0.016378,0.000000,0.057554
f1_reinke,0.269801,0.184211,0.357143
