fold,epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
2,64,0.879534,0.8643,1.222035,0.6652,0.3968
2,65,0.880825,0.8732,1.225639,0.6425,0.3853
2,66,0.882391,0.8689,1.198293,0.6244,0.3641
2,67,0.869466,0.8732,1.235846,0.6471,0.3971
2,68,0.862008,0.8725,1.255300,0.6244,0.3706
2,69,0.876890,0.8664,1.237438,0.6380,0.3706
2,70,0.868400,0.8682,1.224614,0.6290,0.3689
2,71,0.871696,0.8736,1.225292,0.6516,0.3963
2,72,0.850680,0.8796,1.234805,0.6380,0.3916
2,73,0.847753,0.8800,1.271301,0.6109,0.3567
2,74,0.853495,0.8743,1.255396,0.6109,0.3376
2,75,0.848918,0.8793,1.247548,0.6244,0.3685
2,76,0.850493,0.8761,1.269402,0.6199,0.3318
2,77,0.844331,0.8811,1.232645,0.6290,0.3404
2,78,0.836800,0.8825,1.238505,0.6290,0.3581
2,79,0.842006,0.8807,1.214583,0.6335,0.3719
2,80,0.834853,0.8811,1.226808,0.6199,0.3856
2,81,0.842144,0.8786,1.242586,0.6290,0.4052
2,82,0.828690,0.8879,1.221631,0.6425,0.3916
3,1,4.738645,0.2561,1.434676,0.4292,0.2858
3,2,2.624332,0.3243,1.365649,0.5114,0.3229
3,3,2.293573,0.3646,1.313518,0.5342,0.3133
3,4,2.152721,0.3904,1.272218,0.5845,0.3500
3,5,2.073550,0.4332,1.154541,0.5845,0.3340
3,6,2.011020,0.4546,1.176797,0.5434,0.3325
3,7,1.933017,0.4929,1.092616,0.5616,0.3261
3,8,1.886179,0.5107,1.088960,0.5890,0.3619
3,9,1.823039,0.5436,1.060992,0.5890,0.3571
3,10,1.810973,0.5296,1.094628,0.5982,0.3826
3,11,1.738185,0.5636,1.060128,0.5936,0.3722
3,12,1.717530,0.5739,1.074370,0.5982,0.3978
3,13,1.649702,0.6029,1.000888,0.6347,0.3755
3,14,1.611155,0.6186,1.026286,0.6484,0.4101
3,15,1.585458,0.6193,1.014590,0.6484,0.3860
3,16,1.497850,0.6493,1.017594,0.6530,0.4329
3,17,1.470145,0.6621,0.994692,0.6621,0.4245
3,18,1.438038,0.6750,0.995950,0.6575,0.3996
3,19,1.388419,0.6879,1.016955,0.6621,0.4084
3,20,1.362958,0.6986,0.998466,0.6530,0.3997
3,21,1.346066,0.7121,1.045891,0.6393,0.3993
3,22,1.317093,0.7111,1.002515,0.6804,0.4246
3,23,1.297908,0.7179,1.018281,0.6758,0.4280
3,24,1.264143,0.7389,1.012213,0.6621,0.4061
3,25,1.219521,0.7386,1.009381,0.6804,0.4187
3,26,1.237559,0.7339,1.028952,0.6575,0.4136
3,27,1.210048,0.7554,1.040327,0.6621,0.4444
3,28,1.191622,0.7614,1.040711,0.6438,0.3948
3,29,1.166165,0.7736,1.042150,0.6484,0.3703
3,30,1.141968,0.7764,1.013822,0.6575,0.4205
3,31,1.144578,0.7693,1.034342,0.6530,0.4082
3,32,1.124486,0.7743,1.049676,0.6621,0.4095
3,33,1.092522,0.7957,1.091177,0.6073,0.3212
3,34,1.095068,0.7893,1.063180,0.6530,0.3821
3,35,1.093675,0.7811,1.081010,0.6438,0.3521
3,36,1.067620,0.7979,1.084648,0.6484,0.3861
3,37,1.081859,0.7929,1.098738,0.6530,0.3934
3,38,1.044162,0.8150,1.104363,0.6256,0.3770
3,39,1.018767,0.8050,1.070928,0.6621,0.3854
3,40,1.032231,0.8125,1.058403,0.6347,0.3506
3,41,1.018037,0.8189,1.060450,0.6438,0.3711
3,42,1.024987,0.8154,1.119949,0.6393,0.3758
3,43,1.027375,0.8125,1.115589,0.6393,0.3625
