metric,mean,ci_lower,ci_upper
accuracy,0.699729,0.673042,0.726776
macro_f1,0.472389,0.436501,0.509670
f1_normal,0.881805,0.864162,0.899214
f1_laringite,0.405312,0.325581,0.484127
f1_disfonia_psicogenica,0.338441,0.251497,0.422535
f1_disfonia_funcional,0.259623,0.173913,0.344498
f1_reinke,0.476763,0.385093,0.566667
