class,precision,recall,f1,support
Normal,0.860304,0.905386,0.882270,687
Laringite,0.480392,0.350000,0.404959,140
Disfonia Psicogenica,0.320388,0.362637,0.340206,91
Disfonia Funcional,0.365079,0.205357,0.262857,112
Edema de Reinke,0.392523,0.617647,0.480000,68
macro_avg,,,0.474058,1098
weighted_avg,,,0.688390,1098
accuracy,,,0.700364,1098
