metric,mean,ci_lower,ci_upper
accuracy,0.695809,0.669399,0.723133
macro_f1,0.456541,0.419423,0.494913
f1_normal,0.866366,0.847505,0.885027
f1_laringite,0.397371,0.313131,0.489083
f1_disfonia_psicogenica,0.327344,0.237500,0.414894
f1_disfonia_funcional,0.238567,0.150685,0.329412
f1_reinke,0.453054,0.363636,0.544379
