metric,mean,ci_lower,ci_upper
accuracy,0.656418,0.629326,0.682149
macro_f1,0.371872,0.332261,0.410509
f1_normal,0.804125,0.782159,0.822936
f1_laringite,0.294553,0.208955,0.380952
f1_disfonia_psicogenica,0.189603,0.105263,0.281690
f1_disfonia_funcional,0.133023,0.054054,0.222222
f1_reinke,0.438057,0.336000,0.536232
