fold,vowel,network,feature_idx,mu,lambda,gc,gct,selected
0,0,expert,2,0.016270,0.869692,-0.853422,-0.114038,1
0,0,expert,3,0.037032,0.779756,-0.742724,-0.183212,1
0,0,expert,4,0.038153,0.775576,-0.737422,-0.186271,1
0,0,expert,5,0.036319,0.737989,-0.701670,-0.225692,1
0,0,expert,6,0.028195,0.827548,-0.799353,-0.144257,1
0,0,expert,7,0.012961,0.978957,-0.965996,-0.008082,1
0,0,expert,8,0.036924,0.950048,-0.913124,-0.013028,1
0,0,expert,9,0.034355,0.881057,-0.846702,-0.084589,1
0,0,expert,10,0.064087,0.909985,-0.845897,-0.025928,1
0,0,expert,11,0.011317,0.922527,-0.911210,-0.066156,1
0,0,expert,12,0.047414,0.934684,-0.887269,-0.017902,1
0,0,expert,13,0.061559,0.918718,-0.857159,-0.019722,1
0,0,expert,14,0.046164,0.947908,-0.901744,-0.005928,1
0,0,expert,15,0.018677,0.863142,-0.844464,-0.118181,1
0,0,expert,16,0.103498,0.921714,-0.818216,0.025212,1
0,0,expert,17,0.105120,0.714536,-0.609416,-0.180344,1
0,0,expert,18,0.114957,0.776820,-0.661863,-0.108224,1
0,0,expert,19,0.047502,0.922055,-0.874553,-0.030443,1
0,0,expert,20,0.078757,0.901896,-0.823140,-0.019347,1
0,0,expert,21,0.011698,0.981640,-0.969942,-0.006662,1
0,0,expert,22,0.048043,0.973907,-0.925864,0.021949,1
0,0,expert,23,0.001990,0.938936,-0.936946,-0.059074,1
0,0,expert,24,0.039017,0.953888,-0.914871,-0.007096,1
0,0,expert,25,0.010867,0.979076,-0.968209,-0.010057,1
0,0,expert,26,0.016292,0.962307,-0.946015,-0.021401,1
0,0,expert,27,0.017099,0.965102,-0.948003,-0.017799,1
0,0,expert,28,0.037951,0.951702,-0.913751,-0.010348,1
0,0,expert,29,0.042318,0.929352,-0.887034,-0.028329,1
0,0,expert,30,0.044199,0.967137,-0.922938,0.011335,1
0,0,expert,31,0.027035,0.946777,-0.919742,-0.026187,1
0,0,expert,32,0.003998,0.672372,-0.668374,-0.323629,1
0,0,expert,33,0.000904,0.839720,-0.838816,-0.159377,1
0,0,expert,34,0.010389,0.789150,-0.778762,-0.200461,1
0,0,expert,35,0.009972,0.956330,-0.946358,-0.033698,1
0,0,expert,36,0.018917,0.921992,-0.903074,-0.059091,1
0,0,expert,37,0.032653,0.915863,-0.883210,-0.051484,1
0,0,expert,38,0.010850,0.897270,-0.886420,-0.091880,1
0,0,expert,39,0.025257,0.937742,-0.912485,-0.037001,1
0,0,expert,40,0.020078,0.919655,-0.899577,-0.060268,1
0,0,expert,41,0.027215,0.903924,-0.876710,-0.068861,1
0,0,expert,42,0.011098,0.910205,-0.899107,-0.078696,1
0,0,expert,43,0.011077,0.886263,-0.875187,-0.102660,1
0,0,expert,44,0.031536,0.957928,-0.926392,-0.010536,1
0,0,expert,45,0.005484,0.633658,-0.628174,-0.360858,1
0,0,expert,46,0.001766,0.848773,-0.847007,-0.149460,1
0,0,expert,47,0.014802,0.790178,-0.775376,-0.195021,1
0,0,expert,48,0.013286,0.951499,-0.938213,-0.035214,1
0,0,expert,49,0.023140,0.946818,-0.923678,-0.030042,1
0,0,expert,50,0.040087,0.933818,-0.893731,-0.026095,1
0,0,expert,51,0.016720,0.899587,-0.882868,-0.083693,1
0,0,expert,52,0.030269,0.946344,-0.916075,-0.023387,1
0,0,expert,53,0.030006,0.909938,-0.879932,-0.060056,1
0,0,expert,54,0.031276,0.892999,-0.861723,-0.075725,1
0,0,expert,55,0.018507,0.903706,-0.885199,-0.077787,1
0,0,expert,56,0.015146,0.911456,-0.896309,-0.073398,1
0,0,expert,57,0.034926,0.938582,-0.903656,-0.026492,1
0,0,expert,58,0.058450,0.958131,-0.899682,0.016581,1
0,0,expert,59,0.034678,0.889413,-0.854735,-0.075909,1
0,0,expert,60,0.002554,0.860954,-0.858400,-0.136493,1
0,0,expert,61,0.031111,0.250010,-0.218899,-0.718879,1
0,0,expert,62,0.031111,0.250000,-0.218889,-0.718889,1
0,0,expert,63,0.100356,0.915556,-0.815200,0.015911,1
0,0,expert,64,0.019389,0.951508,-0.932119,-0.029103,1
0,0,expert,65,0.001994,0.980897,-0.978903,-0.017108,1
0,0,expert,66,0.029557,0.868905,-0.839347,-0.101538,1
0,0,expert,67,0.006232,0.913316,-0.907084,-0.080452,1
0,0,expert,68,0.012302,0.967338,-0.955036,-0.020360,1
0,0,expert,69,0.018606,0.937399,-0.918792,-0.043995,1
