metric,mean,ci_lower,ci_upper
accuracy,0.693665,0.667577,0.721311
macro_f1,0.444302,0.408521,0.481538
f1_normal,0.871763,0.853539,0.889492
f1_laringite,0.383361,0.300429,0.466667
f1_disfonia_psicogenica,0.314488,0.226190,0.404494
f1_disfonia_funcional,0.226169,0.143713,0.305263
f1_reinke,0.425732,0.329412,0.521212
