metric,mean,ci_lower,ci_upper
accuracy,0.691566,0.665756,0.718579
macro_f1,0.422524,0.387827,0.458364
f1_normal,0.864521,0.844746,0.883629
f1_laringite,0.401778,0.314286,0.483755
f1_disfonia_psicogenica,0.239561,0.157480,0.331288
f1_disfonia_funcional,0.172215,0.093750,0.259740
f1_reinke,0.434548,0.341085,0.532609
