metric,mean,ci_lower,ci_upper
accuracy,0.686838,0.660291,0.714025
macro_f1,0.441016,0.406199,0.479955
f1_normal,0.876401,0.857752,0.894665
f1_laringite,0.383518,0.303797,0.467797
f1_disfonia_psicogenica,0.287216,0.195122,0.375691
f1_disfonia_funcional,0.262164,0.175610,0.347032
f1_reinke,0.395781,0.298137,0.487179
