class,precision,recall,f1,support
Normal,0.800000,0.838428,0.818763,687
Laringite,0.412844,0.321429,0.361446,140
Disfonia Psicogenica,0.315789,0.263736,0.287425,91
Disfonia Funcional,0.271028,0.258929,0.264840,112
Edema de Reinke,0.360465,0.455882,0.402597,68
macro_avg,,,0.427014,1098
weighted_avg,,,0.634141,1098
accuracy,,,0.642076,1098
# bootstrap_ci
metric,mean,ci_lower,ci_upper
accuracy,0.642109,0.613843,0.670310
macro_f1,0.426270,0.388442,0.464543
f1_normal,0.818576,0.795948,0.838977
f1_laryngite,0.361423,0.288136,0.436782
f1_disfonia,0.285532,0.188235,0.379310
f1_func_disfonia,0.263760,0.182692,0.344498
f1_reinke,0.402058,0.301370,0.497041
