metric,mean,ci_lower,ci_upper
accuracy,0.682474,0.656648,0.709472
macro_f1,0.435128,0.399394,0.473323
f1_normal,0.867314,0.848057,0.886515
f1_laringite,0.369939,0.288557,0.451923
f1_disfonia_psicogenica,0.309957,0.223529,0.398058
f1_disfonia_funcional,0.195706,0.116279,0.270833
f1_reinke,0.432725,0.337662,0.526882
