metric,mean,ci_lower,ci_upper
accuracy,0.666332,0.640255,0.693989
macro_f1,0.368506,0.334130,0.405473
f1_normal,0.825095,0.804925,0.844913
f1_laringite,0.322922,0.238806,0.407767
f1_disfonia_psicogenica,0.188907,0.109375,0.280255
f1_disfonia_funcional,0.103215,0.039604,0.179104
f1_reinke,0.402390,0.296296,0.507042
