metric,mean,ci_lower,ci_upper
accuracy,0.696977,0.671220,0.724954
macro_f1,0.449950,0.415139,0.489630
f1_normal,0.869941,0.851595,0.887517
f1_laringite,0.379468,0.303030,0.460251
f1_disfonia_psicogenica,0.295152,0.202532,0.378378
f1_disfonia_funcional,0.207978,0.123288,0.291139
f1_reinke,0.497209,0.406015,0.591195
