metric,mean,ci_lower,ci_upper
accuracy,0.703517,0.677596,0.731330
macro_f1,0.470620,0.431817,0.509906
f1_normal,0.868784,0.850248,0.887566
f1_laringite,0.385280,0.301508,0.471074
f1_disfonia_psicogenica,0.359659,0.270270,0.449761
f1_disfonia_funcional,0.251934,0.157576,0.344371
f1_reinke,0.487440,0.395349,0.585635
